ENA	Produit	Marque	Fournisseur	Code interne Fournisseur	Categorie	Sous Categorie	Compatibilité	Qualité	Prix d'achat HT	Type de Pièce	Variante	Quantité en Stock	Quantité Minimale	Localisation Magasin
751492625676	PNY microSD Performance Plus 32 Go 		Utopya	155405	Informatique	Stockage			4,30 €			5		
3667075203155	COVERME Coque TPU Galaxy A17 4G/5G (Clear)		Utopya	370656	Protection	Téléphonie			0,70 €			1		
3667075203292	COVERME Etui Wallet Galaxy A17 4G/5G  (Noir)		Utopya	599823	Protection	Téléphonie			2,10 €			1		
3667075049388	Batterie iPhone 12 mini Haute Capacité (Ti)		Utopya	381025	Réparation	Téléphonie	iPhone 12 mini		5,38 €	Batterie		3		
3667075038924	COVERME Etui Wallet Galaxy A05S (Noir)		Utopya	676462	Protection	Téléphonie			2,10 €			1		
3667075151616	Ecran Complet iPhone 16 (Soft OLED) (BOLT)		Utopya	918273	Réparation	Téléphonie	iPhone 16	Premium	37,20 €	Ecran		1		
3667075049319	Batterie iPhone 14 Haute Capacité (Ti)		Utopya	485506	Réparation	Téléphonie	iPhone 14	Premium	6,70 €	Batterie		5		
3701569389465	Nappe Principale Xiaomi 11T Pro		Utopya	XIA11TP-NCM	Réparation	Téléphonie	11T Pro 5G	Performance	0,58 €	Nappe et Autres		1		
3701569389502	Connecteur de Charge Xiaomi 11T Pro		Utopya	XIA11TP-CC	Réparation	Téléphonie	11T Pro 5G	Performance	1,40 €	Connecteur de Charge		1		
3701569302136	JAKEMY Tournevis Electrique 9 en 1		Utopya	999474	Magasin	Outils			16,85 €			1		
3701344078546	2UUL Lingettes Microfibre Master 15x15cm (x60) (CL02)		Utopya	2UUL-WIPE-MAS	Magasin	Nettoyage			4,10 €			1		
6938144122019	BEST Lingettes Microfibres 20x20cm (x100)		Utopya	PP5304	Magasin	Nettoyage			4,90 €			1		
5907156001033	MCE Alcool Isopropylique 100% (100ml)		Utopya	127476	Magasin	Outils			3,33 €			2		
5907156000234	MCE Nettoyant Circuits Imprimés (PCB) (100ml)		Utopya	107004	Magasin	Outils			3,33 €			1		
751492629940	PNY SSD SATA 2.5'' CS900 (250Go)		Utopya	602006	Informatique	Stockage		Standard	31,91 €	SSD SATA		6		
751492629957	PNY SSD SATA 2.5'' CS900 (500Go)		Utopya	336245	Informatique	Stockage		Standard	53,83 €	SSD SATA		2		
6971050262554	Adaptateur OTG USB Femelle vers USB-C Mâle Yesido GS06		Mobilax		Accessoire		 		1,90 €			10		
3000000290408	Adhésif Vitre Arrière 3M pour Apple iPhone 12/iPhone 12 Pro		Mobilax		Réparation	Téléphonie	iPhone 12		1,00 €			1		
3708083069026	Batterie Apple iPhone 6S Ti		Mobilax		Réparation	Téléphonie	iPhone 6S		3,90 €			1		
3000000158456	Boite pour Smartphone 17*10*3,5cm (x20) Blanc		Mobilax		Magasin				26,90 €			1		
3000000255513	Boite pour Smartphone 17*10*3,5cm (x20) Kraft		Mobilax		Magasin				26,90 €			1		
3000000168684	Cache Arrière Aftermarket (PIEC) Apple iPhone 14 Minuit		Mobilax		Réparation	Téléphonie	iPhone 14		18,90 €			3		
7406173484532	Carte Mémoire Kingston microSDXC (128Go) Canvas Select Plus 150MB/s +Adaptateur - SDCS3/128GB		Mobilax						18,90 €			1		
3000000186084	Coque Silicone Compatible pour Apple iPhone 14 Plus (#06) Rose		Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,50 €			1		
3000000276556	Coque Silicone Compatible pour Samsung Galaxy S20 FE 5G G781/Galaxy S20 FE 4G G780 (#3) Noir		Mobilax		Protection	Téléphonie	Galaxy S20 FE 5G G781		2,50 €			1		
3000000169636	Coque Silicone MagSafe Compatible pour Apple iPhone 14 Plus Transparent		Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,50 €			1		
3000000093313	Coque Silicone Renforcée PROTECT pour Samsung Galaxy S21 FE G990 Transparent		Mobilax		Protection	Téléphonie	Galaxy S21 FE G990		1,89 €			2		
3000000237939	Coque de Protection IX006 PROTECT pour Apple iPhone 14 Plus Noir		Mobilax		Protection	Téléphonie	iPhone 14 Plus		1,90 €			1		
3000000240670	Coque de Protection IX008 PROTECT pour Apple iPhone 14 Plus Noir		Mobilax		Protection	Téléphonie	iPhone 14 Plus		1,90 €			1		
3000000395356	Coque de Protection IX008 PROTECT pour Samsung Galaxy A17 5G A176 Noir		Mobilax		Protection	Téléphonie	Galaxy A17 5G A176		1,90 €			1		
3000000231210	Coque de Protection Knight JMGOKIT pour Apple iPhone 14 Plus Bleu		Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,70 €			1		
3000000253267	Coque de Réparation Apple iPhone 12 (Without Parts) Blanc		Mobilax		Réparation	Téléphonie	iPhone 12		15,90 €			1		
3000000252659	Coque de Réparation Apple iPhone 12 (Without Parts) Bleu		Mobilax		Réparation	Téléphonie	iPhone 12		15,90 €			1		
