No ID	IMEI	MODEL	Grade	Batterie %	Agent	Vendeur	FACTURE	Description ou Panne	Date d'achat	Frais 	Pieces changées 	Prix d'achat	Prix de vente 	Signature	Photo Avant	Photo Arrière	Statut	Acheteur
2	42801134634	Acer Chromebook Plus 515	Grade A 	100%	Rabah	2Kknc6D2h14HeIfVEc0oSf		i3-12eme 8/512	04/02/2026			250	379		Rachat Reprise_Images/2.Photo Avant.192336.jpg	Rachat Reprise_Images/2.Photo Arrière.192337.jpg	Prêt à la vente	
3	0	iPhone 11	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA			04/02/2026	10	Batterie	70	150				Vendu	xutUXtuVLuziL46ib8elm2
4	YX04GNY4YXN0B262500M	IdeaPad 3 Chrome 15IJL6	Grade A 	100%	Rabah	2Kknc6D2h14HeIfVEc0oSf			04/02/2026			80	259				Prêt à la vente	
5	YX04GP87YXN0B262500M	IdeaPad 3 Chrome 15IJL6	Grade A 	100%	Rabah	2Kknc6D2h14HeIfVEc0oSf			04/02/2026			80	259				Prêt à la vente	
6	YX04GPA3YXN0B262500M	IdeaPad 3 Chrome 15IJL6	Grade A 	100%	Rabah	2Kknc6D2h14HeIfVEc0oSf			04/02/2026			80	259				Prêt à la vente	
7	93b5kl3	DELL Latitude 5320	Grade B	80%	Rabah	tQ7gK3vA6mI5B6abUhXG0P			04/02/2026			200	359		Rachat Reprise_Images/7.Photo Avant.194806.jpg	Rachat Reprise_Images/7.Photo Arrière.194739.jpg	Prêt à la vente	
8	F9ZTP54	Dell Latitude 3550	Grade A 	100%	Rabah	tQ7gK3vA6mI5B6abUhXG0P			04/02/2026			450	679		Rachat Reprise_Images/8.Photo Avant.195056.jpg	Rachat Reprise_Images/8.Photo Arrière.195045.jpg	Prêt à la vente	
9	10488G3	Dell Latitude 7320	Grade C	80%	Rabah	tQ7gK3vA6mI5B6abUhXG0P			04/02/2026			250	449		Rachat Reprise_Images/9.Photo Avant.195531.jpg	Rachat Reprise_Images/9.Photo Arrière.195531.jpg	Prêt à la vente	
10	356557841883811	iPhone 13	Grade A 	85%	Lina	xObnC0tacNfhMXItiBkNKA		128 gb Reprise d'un 8 Plus 55€	05/02/2026			230	370				Vendu	m_UQjm4Rmj4TirM3SHB1c4
11	350108729676749	iPhone 16 Pro Max	Grade B	97%	Alper	xObnC0tacNfhMXItiBkNKA		256g	26/01/2026	50	Vitre Arrière	550	750				Prêt à la vente	
12	356880922510388	iPhone 16	Grade A	97%	Alper	xObnC0tacNfhMXItiBkNKA		128g				450	550				Vendu	xObnC0tacNfhMXItiBkNKA
13	353173586770701	iPhone 15	Grade C	84%	Alper	xObnC0tacNfhMXItiBkNKA		128g			FACE ID / REDEMARRE	280					En Attente	
14	357397703166446	iPhone 14 Pro Max	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g				370	599		Rachat Reprise_Images/14.Photo Avant.205616.jpg	Rachat Reprise_Images/14.Photo Arrière.205627.jpg	Prêt à la vente	
15	358547325960837	iPhone 14 Pro Max	Grade C	85%	Alper	xObnC0tacNfhMXItiBkNKA		128g			FACE ID / CAMERA	250					En Attente	
16	358073465813785	iPhone 14 Pro	Grade B	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g				350	559		Rachat Reprise_Images/16.Photo Avant.211825.jpg	Rachat Reprise_Images/16.Photo Arrière.211836.jpg	Prêt à la vente	
17	352228702967580	iPhone 14 Pro		73%	Alper	xObnC0tacNfhMXItiBkNKA		128g			ECRAN / Vitre Arrière	260					En Attente	
18	355843705539785	iPhone 14 Plus		83%	Alper	xObnC0tacNfhMXItiBkNKA		128g			?	300	399				Vendu	
19	351952299977279	iPhone 14	Grade A 	88%	Alper	xObnC0tacNfhMXItiBkNKA		128g		30	VA	230	379		Rachat Reprise_Images/19.Photo Avant.210449.jpg	Rachat Reprise_Images/19.Photo Arrière.210501.jpg	Prêt à la vente	
20	356228312161734	iPhone 13	Grade B	85%	Alper	xObnC0tacNfhMXItiBkNKA		128g				230	339				Prêt à la vente	
21	353187658229602	iPhone 13	Grade A	100%	Alper	xObnC0tacNfhMXItiBkNKA		128g				230	359		Rachat Reprise_Images/21.Photo Avant.011323.jpg	Rachat Reprise_Images/21.Photo Arrière.011329.jpg	Prêt à la vente	
