ENA	Produit	Marque	Fournisseur	Code interne Fournisseur	Categorie	Sous Categorie	Compatibilité	Qualité	Prix d'achat HT	Type de Pièce	Variante	Quantité en Stock	Quantité Minimale	Localisation Magasin
751492625676	PNY microSD Performance Plus 32 Go 	PNY	Utopya	155405	Informatique	Stockage			4,30 €	Carte Mémoire		5		
3667075203155	COVERME Coque TPU Galaxy A17 4G/5G (Clear)	Samsung	Utopya	370656	Protection	Téléphonie			0,70 €	Protection		1		
3667075203292	COVERME Etui Wallet Galaxy A17 4G/5G  (Noir)	Samsung	Utopya	599823	Protection	Téléphonie			2,10 €	Protection		1		
3667075049388	Batterie iPhone 12 mini Haute Capacité (Ti)	Apple	Utopya	381025	Réparation	Téléphonie	iPhone 12 mini		5,38 €	Batterie		3		
3667075038924	COVERME Etui Wallet Galaxy A05S (Noir)	Samsung	Utopya	676462	Protection	Téléphonie			2,10 €	Protection		1		
3667075151616	Ecran Complet iPhone 16 (Soft OLED) (BOLT)	Apple	Utopya	918273	Réparation	Téléphonie	iPhone 16	Premium	37,20 €	Ecran		1		
3667075049319	Batterie iPhone 14 Haute Capacité (Ti)	Apple	Utopya	485506	Réparation	Téléphonie	iPhone 14	Premium	6,70 €	Batterie		5		
3701569389465	Nappe Principale Xiaomi 11T Pro	Xiaomi	Utopya	XIA11TP-NCM	Réparation	Téléphonie	11T Pro 5G	Performance	0,58 €	Nappe et Autres		1		
3701569389502	Connecteur de Charge Xiaomi 11T Pro	Xiaomi	Utopya	XIA11TP-CC	Réparation	Téléphonie	11T Pro 5G	Performance	1,40 €	Connecteur de Charge		1		
3701569302136	JAKEMY Tournevis Electrique 9 en 1	JAKEMY	Utopya	999474	Magasin	Outils			16,85 €	Outillage		1		
3701344078546	2UUL Lingettes Microfibre Master 15x15cm (x60) (CL02)	2UUL	Utopya	2UUL-WIPE-MAS	Magasin	Nettoyage			4,10 €	Consommable Magasin		1		
6938144122019	BEST Lingettes Microfibres 20x20cm (x100)	BEST	Utopya	PP5304	Magasin	Nettoyage			4,90 €	Consommable Magasin		1		
5907156001033	MCE Alcool Isopropylique 100% (100ml)	MCE	Utopya	127476	Magasin	Outils			3,33 €	Consommable Magasin		2		
5907156000234	MCE Nettoyant Circuits Imprimés (PCB) (100ml)	MCE	Utopya	107004	Magasin	Outils			3,33 €	Consommable Magasin		1		
751492629940	PNY SSD SATA 2.5'' CS900 (250Go)	PNY	Utopya	602006	Informatique	Stockage		Standard	31,91 €	SSD SATA		6		
751492629957	PNY SSD SATA 2.5'' CS900 (500Go)	PNY	Utopya	336245	Informatique	Stockage		Standard	53,83 €	SSD SATA		2		
6971050262554	Adaptateur OTG USB Femelle vers USB-C Mâle Yesido GS06	Yesido	Mobilax		Accessoire		 		1,90 €	Câble / Adaptateur		10		
3000000290408	Adhésif Vitre Arrière 3M pour Apple iPhone 12/iPhone 12 Pro	Apple	Mobilax		Réparation	Téléphonie	iPhone 12		1,00 €	Vitre Arrière		1		
3708083069026	Batterie Apple iPhone 6S Ti	Apple	Mobilax		Réparation	Téléphonie	iPhone 6S		3,90 €	Batterie		1		
3000000158456	Boite pour Smartphone 17*10*3,5cm (x20) Blanc	Générique	Mobilax		Magasin				26,90 €	Emballage		1		
3000000255513	Boite pour Smartphone 17*10*3,5cm (x20) Kraft	Générique	Mobilax		Magasin				26,90 €	Emballage		1		
3000000168684	Cache Arrière Aftermarket (PIEC) Apple iPhone 14 Minuit	Apple	Mobilax		Réparation	Téléphonie	iPhone 14		18,90 €	Cache Arrière		3		
7406173484532	Carte Mémoire Kingston microSDXC (128Go) Canvas Select Plus 150MB/s +Adaptateur - SDCS3/128GB	Kingston	Mobilax						18,90 €	Carte Mémoire		1		
3000000186084	Coque Silicone Compatible pour Apple iPhone 14 Plus (#06) Rose	Apple	Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,50 €	Protection		1		
3000000276556	Coque Silicone Compatible pour Samsung Galaxy S20 FE 5G G781/Galaxy S20 FE 4G G780 (#3) Noir	Samsung	Mobilax		Protection	Téléphonie	Galaxy S20 FE 5G G781		2,50 €	Protection		1		
3000000169636	Coque Silicone MagSafe Compatible pour Apple iPhone 14 Plus Transparent	Apple	Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,50 €	Protection		1		
3000000093313	Coque Silicone Renforcée PROTECT pour Samsung Galaxy S21 FE G990 Transparent	Samsung	Mobilax		Protection	Téléphonie	Galaxy S21 FE G990		1,89 €	Protection		2		
3000000237939	Coque de Protection IX006 PROTECT pour Apple iPhone 14 Plus Noir	Apple	Mobilax		Protection	Téléphonie	iPhone 14 Plus		1,90 €	Protection		1		
3000000240670	Coque de Protection IX008 PROTECT pour Apple iPhone 14 Plus Noir	Apple	Mobilax		Protection	Téléphonie	iPhone 14 Plus		1,90 €	Protection		1		
3000000395356	Coque de Protection IX008 PROTECT pour Samsung Galaxy A17 5G A176 Noir	Samsung	Mobilax		Protection	Téléphonie	Galaxy A17 5G A176		1,90 €	Protection		1		
3000000231210	Coque de Protection Knight JMGOKIT pour Apple iPhone 14 Plus Bleu	Apple	Mobilax		Protection	Téléphonie	iPhone 14 Plus		2,70 €	Protection		1		
3000000253267	Coque de Réparation Apple iPhone 12 (Without Parts) Blanc	Apple	Mobilax		Réparation	Téléphonie	iPhone 12		15,90 €	Coque de Réparation		1		
3000000252659	Coque de Réparation Apple iPhone 12 (Without Parts) Bleu	Apple	Mobilax		Réparation	Téléphonie	iPhone 12		15,90 €	Coque de Réparation		1		
3000000252727	Coque de Réparation Apple iPhone 12 (Without Parts) Noir	Apple	Mobilax		Réparation	Téléphonie	iPhone 12		15,90 €	Coque de Réparation		1		
3000000253311	Coque de Réparation Apple iPhone 12 Pro (Without Parts) Bleu Pacifique	Apple	Mobilax		Réparation	Téléphonie	iPhone 12 Pro		21,90 €	Coque de Réparation		1		
3000000252925	Coque de Réparation Apple iPhone 13 (Without Parts) Rouge	Apple	Mobilax		Réparation	Téléphonie	iPhone 13		21,50 €	Coque de Réparation		1		
3000000373019	Coque de Réparation Apple iPhone 14 Pro (Without Parts) Violet Intense	Apple	Mobilax		Réparation	Téléphonie	iPhone 14 Pro		38,90 €	Coque de Réparation		1		
3000000388235	Câble DisplayPort Mâle Mâle vers Mini DisplayPort Mâle 4K 1,8m -  Noir	Générique	Mobilax						2,90 €	Câble / Adaptateur		1		
3000000387986	Câble DisplayPort Mâle vers HDMI Mâle Nylon Tressé 8K (60Hz) - 1m	Générique	Mobilax						8,90 €	Câble / Adaptateur		1		
3000000388228	Câble DisplayPort Mâle vers Mâle Nylon Tressé 8K -  5m	Générique	Mobilax						5,50 €	Câble / Adaptateur		1		
3000000037782	Ecran Tactile Oled Samsung Galaxy A7 2018 A750 Noir	Samsung	Mobilax			Téléphonie	Galaxy A7 2018 A750		22,50 €	Ecran		1		
3000000101032	Lentille Apple iPhone 13 Mini/iPhone 13 Noir	Apple	Mobilax			Téléphonie	iPhone 13 Mini		0,40 €	Lentille Caméra		1		
3000000159620	Lentille Apple iPhone 14/iPhone 14 Plus Noir	Apple	Mobilax			Téléphonie	iPhone 14		0,60 €	Lentille Caméra		1		
3000000421499	Smartphone Occasion Crosscall ACTION-X3 32Go Grade C Noir	Crosscall	Mobilax			Téléphonie	ACTION-X3		39,90 €	Appareil Reconditionné		1		
3000000026908	Stickers Adhésif LCD Samsung Galaxy A7 2018 A750	Samsung	Mobilax			Téléphonie	Galaxy A7 2018 A750		0,80 €	Adhésif		1		
3000000235539	Verre Trempé PRIVACY PROTECT pour Apple iPhone 13 Pro/iPhone 13/iPhone 14/iPhone 16e Transparent	Apple	Mobilax			Téléphonie	iPhone 13 Pro		1,70 €	Protection		1		
3000000235607	Verre Trempé PRIVACY PROTECT pour Apple iPhone 15 Pro Max Transparent	Apple	Mobilax			Téléphonie	iPhone 15 Pro Max		1,70 €	Protection		1		
3000000071250	Vitre Arrière Apple iPhone 12 (Laser LH) Bleu	Apple	Mobilax			Téléphonie	iPhone 12		9,90 €	Vitre Arrière		2		
3000000131688	Vitre Arrière Apple iPhone 13 (Laser LH) Minuit	Apple	Mobilax			Téléphonie	iPhone 13		9,90 €	Vitre Arrière		3		
